Date,State,Total_Confirmed,Death,Cured,New_cases,New_deaths,New_recovered
04-03-2020,Uttar Pradesh,6,0,0,0,0,0
05-03-2020,Uttar Pradesh,7,0,0,1,0,0
06-03-2020,Uttar Pradesh,7,0,0,0,0,0
07-03-2020,Uttar Pradesh,7,0,0,0,0,0
08-03-2020,Uttar Pradesh,7,0,0,0,0,0
09-03-2020,Uttar Pradesh,7,0,0,0,0,0
10-03-2020,Uttar Pradesh,7,0,0,0,0,0
11-03-2020,Uttar Pradesh,9,0,0,2,0,0
12-03-2020,Uttar Pradesh,11,0,0,2,0,0
13-03-2020,Uttar Pradesh,11,0,0,0,0,0
14-03-2020,Uttar Pradesh,12,0,5,1,0,5
15-03-2020,Uttar Pradesh,13,0,4,1,0,-1
16-03-2020,Uttar Pradesh,13,0,4,0,0,0
17-03-2020,Uttar Pradesh,15,0,5,2,0,1
18-03-2020,Uttar Pradesh,16,0,5,1,0,0
19-03-2020,Uttar Pradesh,19,0,9,3,0,4
20-03-2020,Uttar Pradesh,19,0,9,0,0,0
21-03-2020,Uttar Pradesh,24,0,9,5,0,0
22-03-2020,Uttar Pradesh,27,0,9,3,0,0
23-03-2020,Uttar Pradesh,31,0,9,4,0,0
24-03-2020,Uttar Pradesh,33,0,11,2,0,2
25-03-2020,Uttar Pradesh,37,0,11,4,0,0
26-03-2020,Uttar Pradesh,41,0,11,4,0,0
27-03-2020,Uttar Pradesh,41,0,11,0,0,0
28-03-2020,Uttar Pradesh,55,0,11,14,0,0
29-03-2020,Uttar Pradesh,55,0,11,0,0,0
30-03-2020,Uttar Pradesh,75,0,11,20,0,0
31-03-2020,Uttar Pradesh,101,0,14,26,0,3
01-04-2020,Uttar Pradesh,103,2,14,2,2,0
02-04-2020,Uttar Pradesh,113,2,14,10,0,0
03-04-2020,Uttar Pradesh,113,2,14,0,0,0
04-04-2020,Uttar Pradesh,174,2,19,61,0,5
05-04-2020,Uttar Pradesh,227,2,19,53,0,0
06-04-2020,Uttar Pradesh,227,2,19,0,0,0
07-04-2020,Uttar Pradesh,305,3,21,78,1,2
08-04-2020,Uttar Pradesh,326,3,21,21,0,0
09-04-2020,Uttar Pradesh,361,4,27,35,1,6
10-04-2020,Uttar Pradesh,410,4,31,49,0,4
11-04-2020,Uttar Pradesh,431,4,32,21,0,1
12-04-2020,Uttar Pradesh,452,5,45,21,1,13
13-04-2020,Uttar Pradesh,483,5,46,31,0,1
14-04-2020,Uttar Pradesh,657,5,49,174,0,3
15-04-2020,Uttar Pradesh,660,5,50,3,0,1
16-04-2020,Uttar Pradesh,735,11,51,75,6,1
17-04-2020,Uttar Pradesh,846,14,74,111,3,23
18-04-2020,Uttar Pradesh,849,14,82,3,0,8
19-04-2020,Uttar Pradesh,969,14,86,120,0,4
20-04-2020,Uttar Pradesh,1084,17,108,115,3,22
21-04-2020,Uttar Pradesh,1184,18,140,100,1,32
22-04-2020,Uttar Pradesh,1294,20,140,110,2,0
23-04-2020,Uttar Pradesh,1449,21,173,155,1,33
24-04-2020,Uttar Pradesh,1510,24,206,61,3,33
25-04-2020,Uttar Pradesh,1621,25,247,111,1,41
26-04-2020,Uttar Pradesh,1843,29,289,222,4,42
27-04-2020,Uttar Pradesh,1868,29,289,25,0,0
28-04-2020,Uttar Pradesh,1955,31,335,87,2,46
29-04-2020,Uttar Pradesh,2053,34,462,98,3,127
30-04-2020,Uttar Pradesh,2134,39,510,81,5,48
01-05-2020,Uttar Pradesh,2203,39,513,69,0,3
02-05-2020,Uttar Pradesh,2328,42,654,125,3,141
03-05-2020,Uttar Pradesh,2487,43,689,159,1,35
04-05-2020,Uttar Pradesh,2645,43,754,158,0,65
05-05-2020,Uttar Pradesh,2766,50,802,121,7,48
06-05-2020,Uttar Pradesh,2880,56,987,114,6,185
07-05-2020,Uttar Pradesh,2998,60,1130,118,4,143
08-05-2020,Uttar Pradesh,3071,62,1250,73,2,120
09-05-2020,Uttar Pradesh,3214,66,1387,143,4,137
10-05-2020,Uttar Pradesh,3373,74,1499,159,8,112
11-05-2020,Uttar Pradesh,3467,74,1653,94,0,154
12-05-2020,Uttar Pradesh,3573,80,1758,106,6,105
13-05-2020,Uttar Pradesh,3664,82,1873,91,2,115
14-05-2020,Uttar Pradesh,3729,83,1902,65,1,29
15-05-2020,Uttar Pradesh,3902,88,2072,173,5,170
16-05-2020,Uttar Pradesh,4057,95,2165,155,7,93
17-05-2020,Uttar Pradesh,4258,104,2441,201,9,276
18-05-2020,Uttar Pradesh,4259,104,2441,1,0,0
19-05-2020,Uttar Pradesh,4605,118,2783,346,14,342
20-05-2020,Uttar Pradesh,4926,123,2918,321,5,135
21-05-2020,Uttar Pradesh,5175,127,3066,249,4,148
22-05-2020,Uttar Pradesh,5515,138,3204,340,11,138
23-05-2020,Uttar Pradesh,5735,152,3238,220,14,34
24-05-2020,Uttar Pradesh,6017,155,3406,282,3,168
25-05-2020,Uttar Pradesh,6268,161,3538,251,6,132
26-05-2020,Uttar Pradesh,6532,165,3581,264,4,43
27-05-2020,Uttar Pradesh,6548,170,3698,16,5,117
28-05-2020,Uttar Pradesh,6991,182,3991,443,12,293
29-05-2020,Uttar Pradesh,7170,197,4215,179,15,224
30-05-2020,Uttar Pradesh,7284,198,4244,114,1,29
31-05-2020,Uttar Pradesh,7445,201,4410,161,3,166
01-06-2020,Uttar Pradesh,7823,213,4709,378,12,299
02-06-2020,Uttar Pradesh,8075,217,4843,252,4,134
03-06-2020,Uttar Pradesh,8361,222,5030,286,5,187
04-06-2020,Uttar Pradesh,8729,229,5176,368,7,146
05-06-2020,Uttar Pradesh,9237,245,5439,508,16,263
06-06-2020,Uttar Pradesh,9733,257,5648,496,12,209
07-06-2020,Uttar Pradesh,9733,257,5648,0,0,0
08-06-2020,Uttar Pradesh,10536,275,6185,803,18,537
09-06-2020,Uttar Pradesh,10947,283,6344,411,8,159
10-06-2020,Uttar Pradesh,11335,301,6669,388,18,325
11-06-2020,Uttar Pradesh,11610,321,6871,275,20,202
12-06-2020,Uttar Pradesh,12088,345,7292,478,24,421
13-06-2020,Uttar Pradesh,12616,365,7609,528,20,317
14-06-2020,Uttar Pradesh,13118,385,7875,502,20,266
15-06-2020,Uttar Pradesh,13615,399,8268,497,14,393
16-06-2020,Uttar Pradesh,13615,399,8268,0,0,0
17-06-2020,Uttar Pradesh,14091,417,8610,476,18,342
18-06-2020,Uttar Pradesh,14598,435,8904,507,18,294
19-06-2020,Uttar Pradesh,15181,465,9239,583,30,335
20-06-2020,Uttar Pradesh,15785,488,9638,604,23,399
21-06-2020,Uttar Pradesh,16594,507,9995,809,19,357
22-06-2020,Uttar Pradesh,17731,550,10995,1137,43,1000
23-06-2020,Uttar Pradesh,18322,569,11601,591,19,606
24-06-2020,Uttar Pradesh,18893,588,12116,571,19,515
25-06-2020,Uttar Pradesh,19557,596,12586,664,8,470
27-06-2020,Uttar Pradesh,20943,630,13583,1386,34,997
28-06-2020,Uttar Pradesh,21549,649,14215,606,19,632
29-06-2020,Uttar Pradesh,22147,660,14808,598,11,593
30-06-2020,Uttar Pradesh,22828,672,15506,681,12,698
02-07-2020,Uttar Pradesh,24056,718,16629,1228,46,1123
03-07-2020,Uttar Pradesh,24825,735,17221,769,17,592
05-07-2020,Uttar Pradesh,26554,773,18154,1729,38,933
07-07-2020,Uttar Pradesh,28636,809,19109,2082,36,955
08-07-2020,Uttar Pradesh,29968,827,19627,1332,18,518
09-07-2020,Uttar Pradesh,31156,845,20331,1188,18,704
10-07-2020,Uttar Pradesh,32362,862,21127,1206,17,796
11-07-2020,Uttar Pradesh,33700,889,21787,1338,27,660
12-07-2020,Uttar Pradesh,35092,913,22689,1392,24,902
13-07-2020,Uttar Pradesh,36476,934,23334,1384,21,645
14-07-2020,Uttar Pradesh,38130,955,24203,1654,21,869
15-07-2020,Uttar Pradesh,39724,983,24983,1594,28,780
16-07-2020,Uttar Pradesh,41383,1012,25743,1659,29,760
17-07-2020,Uttar Pradesh,41383,1012,25743,0,0,0
19-07-2020,Uttar Pradesh,47036,1108,28664,5653,96,2921
20-07-2020,Uttar Pradesh,49247,1146,29845,2211,38,1181
21-07-2020,Uttar Pradesh,51160,1192,30831,1913,46,986
22-07-2020,Uttar Pradesh,53288,1229,31855,2128,37,1024
23-07-2020,Uttar Pradesh,55588,1263,33500,2300,34,1645
24-07-2020,Uttar Pradesh,58104,1289,35803,2516,26,2303
25-07-2020,Uttar Pradesh,60771,1348,37712,2667,59,1909
26-07-2020,Uttar Pradesh,63742,1387,39903,2971,39,2191
27-07-2020,Uttar Pradesh,66988,1426,41641,3246,39,1738
